title,artist,top genre,genre simplified,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,pop,pop,2021,99,68,71,-5,15,72,227,4,3,81
Calling My Phone,Lil Tjay,other,other,2021,105,39,91,-8,14,20,205,45,5,81
MAMIII,Becky G,other,pop,2022,94,70,84,-4,14,90,226,9,8,81
MONEY,LISA,other,pop,2021,140,55,83,-10,15,40,168,16,22,81
Todo De Ti,Rauw Alejandro,other,pop,2021,128,72,78,-4,9,34,200,31,5,81
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,other,hip hop,2021,150,69,74,-7,5,89,212,2,7,80
Kiss Me More (feat. SZA),Doja Cat,dance pop,pop,2021,111,70,76,-4,12,74,209,24,3,80
Love Story (Taylor’s Version),Taylor Swift,pop,pop,2021,119,79,63,-4,8,42,236,13,3,80
m y . l i f e (with 21 Savage & Morray),J. Cole,conscious hip hop,hip hop,2021,140,59,60,-7,21,8,219,6,14,80
Rasputin,Majestic,other,other,2021,128,91,76,-3,19,66,186,0,11,80
Butter,BTS,other,pop,2022,110,46,76,-5,8,70,165,0,9,79
Memories Remix (feat. Nipsey Hussle & YG),Maroon 5,pop,pop,2021,91,40,81,-7,8,70,189,86,5,79
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,canadian pop,pop,2021,124,81,78,-5,10,49,184,3,12,79
Astronaut In The Ocean,Masked Wolf,other,hip hop,2021,150,70,78,-7,15,47,133,18,9,78
Get Busy,Sean Paul,dance pop,pop,2022,100,82,74,-4,16,73,212,61,4,78
Girls Want Girls (with Lil Baby),Drake,canadian hip hop,hip hop,2021,87,44,77,-9,14,38,222,18,29,78
Here's Your Perfect,Jamie Miller,other,pop,2021,113,45,56,-5,15,42,159,50,6,78
Life Goes On,Oliver Tree,other,alternative,2021,80,49,70,-5,12,57,162,19,8,78
Permission to Dance,BTS,other,pop,2021,125,74,70,-5,34,65,188,1,4,78
Dance Monkey,Tones And I,other,pop,2021,98,59,82,-6,15,51,209,69,9,77
Envolver,Anitta,other,pop,2021,92,74,81,-5,9,40,194,15,8,77
MONTERO (Call Me By Your Name),Lil Nas X,other,hip hop,2021,179,51,61,-7,38,76,138,30,15,77
Motley Crew,Post Malone,dfw rap,rap,2021,130,63,80,-4,10,29,184,9,8,77
Praise God,Kanye West,chicago rap,rap,2021,118,55,80,-6,26,21,227,1,17,77
Your Power,Billie Eilish,art pop,pop,2021,130,28,63,-14,23,21,246,93,8,76
Build a Bitch,Bella Poarch,other,pop,2021,103,46,86,-7,35,87,123,22,4,75
Moth To A Flame (with The Weeknd),Swedish House Mafia,edm,other,2022,120,66,54,-7,11,11,234,0,4,75
We're Good,Dua Lipa,dance pop,pop,2021,134,59,72,-6,18,59,166,3,5,75
